UserID,MovieID,MovieTitle,Genre,Rating,ReviewCount,WatchedYear,UserLocation,AgeGroup,StreamingPlatform,WatchTime,IsBingeWatched,SubscriptionStatus
24,417,The Shawshank Redemption,Drama,4.3,40,2021,Australia,Teen,Hulu,93,True,Canceled
25,706,Inception,Sci-Fi,4.5,3,2023,Canada,Teen,Netflix,165,False,Active
26,746,The Lion King,Animation,4.3,31,2023,US,Adult,Netflix,216,True,Canceled
27,921,Avengers: Endgame,Action,4.9,2,2023,Germany,Adult,HBO Max,96,True,Canceled
28,792,Interstellar,Sci-Fi,2.8,29,2023,India,Senior,Amazon,151,False,Canceled
29,263,Spider-Man: No Way Home,Action,4.4,34,2019,UK,Senior,Amazon,82,False,Active
30,174,Spider-Man: No Way Home,Action,3.0,49,2022,Canada,Adult,Hulu,235,False,Active
31,838,Toy Story,Animation,4.9,3,2019,France,Adult,Hulu,240,True,Active
32,336,Spider-Man: No Way Home,Action,3.7,30,2020,Australia,Teen,Amazon,197,True,Canceled
33,344,Interstellar,Sci-Fi,4.3,21,2021,Germany,Teen,Disney+,118,False,Active
34,461,Inception,Sci-Fi,2.6,31,2019,Canada,Teen,Netflix,174,True,Active
35,745,Toy Story,Animation,3.2,1,2023,Australia,Adult,Netflix,127,False,Active
36,570,Pulp Fiction,Crime,2.5,42,2020,US,Senior,Disney+,208,True,Canceled
37,542,The Dark Knight,Action,2.4,35,2021,Canada,Teen,Netflix,175,False,Active
38,324,Inception,Sci-Fi,4.9,12,2022,Canada,Teen,Apple TV,146,True,Canceled
39,256,Parasite,Thriller,3.9,30,2023,Australia,Teen,Netflix,121,True,Canceled
40,962,Titanic,Romance,3.0,35,2018,UK,Senior,HBO Max,155,False,Active
41,212,The Lion King,Animation,2.1,25,2018,Australia,Senior,Netflix,122,True,Canceled
42,596,The Dark Knight,Action,3.5,31,2018,Germany,Teen,Hulu,200,False,Active
43,663,The Shawshank Redemption,Drama,3.4,18,2022,US,Adult,Netflix,233,True,Active
44,528,Spider-Man: No Way Home,Action,2.8,6,2019,Germany,Teen,Hulu,146,True,Canceled
45,173,Titanic,Romance,3.0,19,2023,France,Teen,Apple TV,143,True,Active
46,660,Inception,Sci-Fi,3.1,18,2018,India,Teen,Disney+,224,True,Canceled
47,380,The Grand Budapest Hotel,Comedy,3.6,1,2019,Germany,Adult,Hulu,126,False,Canceled
48,458,The Shawshank Redemption,Drama,3.2,16,2022,Germany,Senior,Apple TV,197,False,Canceled
49,887,Titanic,Romance,3.7,2,2022,Australia,Adult,Disney+,221,True,Active
50,860,Titanic,Romance,2.3,33,2019,Germany,Teen,HBO Max,140,False,Canceled
51,304,The Matrix,Sci-Fi,4.0,49,2022,Germany,Teen,Amazon,184,False,Active
52,313,The Dark Knight,Action,2.7,3,2020,UK,Adult,Netflix,154,True,Active
53,905,Parasite,Thriller,5.0,25,2020,Germany,Teen,Amazon,161,True,Active
54,186,The Godfather,Crime,4.3,48,2022,Australia,Teen,Disney+,227,True,Active
55,661,Pulp Fiction,Crime,2.1,47,2020,India,Senior,Amazon,218,False,Active
56,640,The Shawshank Redemption,Drama,3.4,46,2023,US,Adult,Amazon,159,False,Active
57,308,The Lion King,Animation,4.8,20,2018,Australia,Teen,HBO Max,204,False,Active
58,349,The Matrix,Sci-Fi,3.7,29,2021,Germany,Senior,HBO Max,236,True,Active
59,756,The Dark Knight,Action,4.3,22,2023,France,Senior,Amazon,62,True,Active
60,267,The Grand Budapest Hotel,Comedy,2.8,45,2019,US,Senior,Hulu,135,True,Active
61,790,Interstellar,Sci-Fi,2.5,45,2023,US,Senior,Amazon,85,False,Canceled
62,979,Inception,Sci-Fi,3.9,47,2022,UK,Adult,Netflix,239,True,Active
63,854,The Dark Knight,Action,3.0,10,2021,Germany,Senior,Apple TV,66,True,Active
64,345,Spider-Man: No Way Home,Action,3.8,40,2022,Australia,Adult,Disney+,234,True,Canceled
65,922,Interstellar,Sci-Fi,4.0,30,2021,US,Teen,Netflix,225,False,Active
66,219,Toy Story,Animation,3.1,45,2022,India,Teen,Amazon,128,False,Active
67,761,The Matrix,Sci-Fi,2.7,22,2019,India,Adult,HBO Max,72,True,Active
68,584,Pulp Fiction,Crime,4.9,18,2018,India,Adult,Amazon,118,True,Canceled
69,544,The Shawshank Redemption,Drama,2.2,27,2022,France,Teen,Apple TV,206,True,Canceled
70,654,Parasite,Thriller,4.0,30,2018,France,Teen,Apple TV,144,False,Active
71,204,Toy Story,Animation,2.2,15,2022,France,Senior,Amazon,189,False,Canceled
72,302,Pulp Fiction,Crime,4.6,40,2021,Germany,Senior,Disney+,155,True,Canceled
73,868,The Lion King,Animation,4.5,48,2021,Canada,Teen,Amazon,130,True,Active
74,170,Interstellar,Sci-Fi,2.6,18,2019,US,Teen,Hulu,91,True,Canceled
75,968,Interstellar,Sci-Fi,4.3,46,2021,US,Adult,Apple TV,212,False,Active
76,709,The Godfather,Crime,3.4,5,2023,Australia,Teen,Amazon,79,True,Active
77,120,Inception,Sci-Fi,3.4,30,2021,US,Teen,HBO Max,94,True,Canceled
78,844,Spider-Man: No Way Home,Action,3.1,30,2022,India,Senior,HBO Max,152,False,Active
79,579,Parasite,Thriller,3.3,49,2020,UK,Senior,Apple TV,233,True,Active
80,672,Interstellar,Sci-Fi,4.9,9,2023,Canada,Teen,Apple TV,144,True,Canceled
81,652,Spider-Man: No Way Home,Action,3.6,13,2019,France,Teen,Netflix,205,False,Canceled
82,584,The Dark Knight,Action,2.6,2,2018,France,Senior,HBO Max,130,True,Active
83,461,Inception,Sci-Fi,4.6,36,2018,France,Senior,HBO Max,207,False,Active
84,153,Toy Story,Animation,4.0,25,2018,UK,Adult,Disney+,61,False,Canceled
85,189,Pulp Fiction,Crime,2.4,27,2020,Germany,Teen,Netflix,225,False,Canceled
86,262,The Shawshank Redemption,Drama,3.8,50,2023,UK,Teen,Netflix,163,False,Canceled
87,671,Inception,Sci-Fi,3.8,17,2018,UK,Adult,Hulu,137,True,Canceled
88,496,Toy Story,Animation,4.4,14,2020,India,Adult,Hulu,104,False,Canceled
89,428,Pulp Fiction,Crime,3.5,39,2018,Australia,Senior,Apple TV,182,True,Active
90,995,Spider-Man: No Way Home,Action,3.1,39,2019,India,Senior,HBO Max,232,True,Canceled
91,405,The Godfather,Crime,3.6,14,2021,India,Teen,Hulu,219,True,Active
92,258,The Lion King,Animation,2.1,47,2018,Australia,Senior,Amazon,86,False,Active
93,717,The Grand Budapest Hotel,Comedy,2.7,33,2019,Australia,Senior,Netflix,130,True,Canceled
94,668,Titanic,Romance,2.1,26,2023,Canada,Teen,HBO Max,229,True,Active
95,148,Forrest Gump,Drama,3.6,24,2018,US,Senior,Amazon,139,False,Canceled
96,884,The Matrix,Sci-Fi,2.6,2,2019,Germany,Senior,Apple TV,132,True,Canceled
97,323,Titanic,Romance,4.0,18,2023,India,Senior,Apple TV,159,True,Active
98,383,The Lion King,Animation,3.3,4,2023,India,Senior,HBO Max,187,True,Active
99,275,Pulp Fiction,Crime,4.6,26,2022,Canada,Teen,HBO Max,221,False,Active
100,268,The Dark Knight,Action,2.3,16,2018,Australia,Teen,Netflix,145,False,Active
